letter_id,letter_issue_date,company_name,subject,letter_url,marcs_cms,Year,repeat_company,repeat_marcs
1,12/30/2025,Absolutely Natural,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/eu-natural-inc-605871-05202021,605871.0,2025,0,0
2,12/29/2021,"Varigard, LLC",Unapproved New Drug Products Related to Coronavirus Disease 2019 (COVID-19),https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/varigard-llc-616757-12292021,616757.0,2021,0,0
3,12/29/2021,Genesis Partnership Company SA,Drug Product/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/genesis-partnership-company-sa-618953-12292021,618953.0,2021,0,0
4,12/28/2023,Woorilife & Health,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/woorilife-health-672936-12282023,672936.0,2023,0,0
5,12/23/2025,Tower Laboratories Ltd.,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/tower-laboratories-ltd-717456-12232025,717456.0,2025,0,0
6,12/21/2023,Botanical Be,Finished Pharmaceuticals/Unapproved New Drug/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/botanical-be-671066-12212023,671066.0,2023,0,0
7,12/21/2021,"Vasyl Melnyk, M.D.",Bioresearch Monitoring Program/IRB,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/vasyl-melnyk-md-623671-12212021,623671.0,2021,0,0
8,12/20/2023,"Hua Da Trading, Inc.",Finished Pharmaceuticals/Unapproved New Drug/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/hua-da-trading-inc-664359-12202023,664359.0,2023,0,0
9,12/20/2023,"Amazon.com, Inc.",Finished Pharmaceuticals/Unapproved New Drug/Misbranded,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/amazoncom-inc-695821-03032025,695821.0,2023,1,0
10,12/19/2025,Unipack LLC,CGMP/Finished Pharmaceuticals/Adulterated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/unipack-llc-716621-12192025,716621.0,2025,0,0
